Jogo;Dia;Hora;Prova;Série;Equipas;Pavilhão;1º Árbitro;2º Árbitro;juiz_linha;juiz_linha2
2878;07/05/2023;16:00;NSMI;#12V.TF;SCPORT. - ESMO GC;PAV. JOÃO ROCHA - LISBOA;JOSÉ CARAMEZ;SANDRA DEVEZA;SAMUEL PATRÃO;NICOLE SOUSA;
2610;07/05/2023;17:00;CNFINF;C;LVC - SOM;PAV. PROF. TEOTÓNIO LIMA;MARIA FERREIRA;;;
1927;07/05/2023;11:00;TAP INIC F;2ªFASE;SL - LV A;SALESIANOS DE LISBOA;MARTA PAULA;;;
2111;07/05/2023;15:00;NSFII;U;CRPIEDE - SMAMEDE;PAV. CR PIEDENSE;MICHELLE FERREIRA;JORGE REIS;;
1453;07/05/2023;15:00;TAP JUV F;;MT - FCA ;ESC. SEC. MADEIRA TORRES;NICOLE SOUSA;;;
2609;07/05/2023;17:00;CNFINF;C;MT - CPA;ESC. SEC. MADEIRA TORRES;NICOLE SOUSA;;;
1339;07/05/2023;17:00;TAP JUNIOR;A;MTBA - FCA A;PAV. MTBA;PEDRO MOUTA;;;
1440;07/05/2023;17:00;TAP JUV F;;GCP - AMN;LICEU PEDRO NUNES;RODRIGO ANDRADE;;;
1852;07/05/2023;09:30;TAP INF F;2ªFASE;FCA B - CVL;EB2/3 MOINHOS DA ARROJA;RUI CASTANHEIRA;;;
1827;07/05/2023;11:30;TAP INF F;2ªFASE;FCA A - CSJB A;EB2/3 MOINHOS DA ARROJA;RUI CASTANHEIRA;;;
2061;07/05/2023;15:00;TAP SENIIIF;1ª FASE;VCS - GDSC;PAV. MUN. ARANGUEZ;SAMUEL PATRÃO;;;
2488;07/05/2023;16:00;CNFINI;C;SLB - CRP;ESC. GENERAL HUMBERTO DELGADO;SANDRA BENTES;;;
2688;07/05/2023;19:00;CNMINF;C;GBV - CVO;ESC. SEC. GAMA BARROS;SANDRA BENTES;;;
2114;07/05/2023;15:00;NSFII;U;LUSOFVC - VIAN VC;PAV. PROF. TEOTÓNIO LIMA;SERGIO PEREIRA;MARIA FERREIRA;;
1941;12/05/2023;20:30;TAP INIC F;2ªFASE;CP_ARRUPE - FAMÕES_CA A;COL. PEDRO ARRUPE;PEDRO MOUTA;;;
2767;13/05/2023;17:00;CNFJUNB1;SU;LOBATOS_V - BOAVISTA_FC;ESC. ANTONIO AUGUSTO LOURO;ALEXANDRE RIBEIRO;;;
1723;13/05/2023;15:00;TAP CAD F;2ªFASE;LOBATOS_V - SC_TORRES;ESC. ANTÓNIO AUGUSTO LOURO;ALEXANDRE RIBEIRO;;;
2690;13/05/2023;17:00;CNMINF;C;SL_BENFICA - SPORTING_CP;EST. UNIVERSITÁRIO - PAV 1;ANDRÉ CARVALHO;;;
2198;13/05/2023;15:00;CNMCAD;D;GAMA_BV - CV_OEIRAS;ES. GAMA BARROS - CACÉM;ANDRÉ CORREIA;;;
2510;13/05/2023;15:00;CNFINI;D;CV_OEIRAS - LUSÓFONA_VC;PAV. MUN. SÃO JULIÃO DA BARRA;CARLOS SILVA;;;
2632;13/05/2023;17:00;CNFINF;D;CV_OEIRAS - SL_BENFICA;PAV. MUN. SÃO JULIÃO DA BARRA;CARLOS SILVA;;;
2317;13/05/2023;15:00;CNFCAD;D;CR_PIEDENSE - UR_MIRENSE;PAV. CR PIEDENSE;CARLOTA BRAGA;;;
2489;13/05/2023;09:00;CNFINI;C;CF_BELENENSES - ESTORIL_P;PAV. ACÁCIO ROSA - RESTELO;CATARINA PEREIRA;;;
1428;13/05/2023;11:00;TAP JUV F;2ªFASE;CF_BELENENSES - GD_SESIMBRA;PAV. ACÁCIO ROSA - RESTELO;CATARINA PEREIRA;;;
1443;13/05/2023;15:00;TAP JUV F;2ªFASE;AM_NOGUEIRA  AD_MARISTA B;ESC. SEC. DANIEL SAMPAIO;CATARINA RODRIGUES;;;
